ID,Sex,Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
20,0,42137.89583,NON-CRIMINAL,FOUND PROPERTY,Wednesday,TENDERLOIN,0,100 Block of JONES ST,-122.4122498,37.78255633
21,0,42137.89583,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,0,200 Block of EVELYN WY,-122.4493891,37.7426688
22,0,42137.88681,ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,INGLESIDE,0,1600 Block of VALENCIA ST,-122.4202721,37.74733163
23,0,42137.88264,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,0,100 Block of JONES ST,-122.4122498,37.78255633
24,0,42137.88264,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Wednesday,TENDERLOIN,0,100 Block of JONES ST,-122.4122498,37.78255633
25,0,42137.88194,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,FILLMORE ST / LOMBARD ST,-122.4360492,37.79984122
26,0,42137.875,NON-CRIMINAL,LOST PROPERTY,Wednesday,TENDERLOIN,0,300 Block of OFARRELL ST,-122.4105093,37.78604322
27,0,42137.875,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,2000 Block of BUSH ST,-122.4310176,37.78738807
28,0,42137.875,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,0,500 Block of COLLEGE AV,-122.4236563,37.73255649
29,0,42137.875,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Wednesday,TARAVAL,0,19TH AV / SANTIAGO ST,-122.4757735,37.74491907
30,0,42137.87222,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,TARAVAL,0,2000 Block of 41ST AV,-122.4997871,37.7485176
31,0,42137.87083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,1300 Block of WEBSTER ST,-122.4310464,37.78302957
32,0,42137.86806,NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",Wednesday,MISSION,1,400 Block of CASTRO ST,-122.4351501,37.76175972
33,0,42137.86458,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,0,1500 Block of FILLMORE ST,-122.4327438,37.78384245
34,0,42137.85417,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,1600 Block of WEBSTER ST,-122.4313095,37.78587063
35,0,42137.85417,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,0,1600 Block of WEBSTER ST,-122.4313095,37.78587063
36,0,42137.85417,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,KING ST / 3RD ST,-122.3918456,37.77812478
37,0,42137.85417,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,VALLEJO ST / BUCHANAN ST,-122.4318307,37.7956417
38,0,42137.85417,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,CALIFORNIA ST / BUCHANAN ST,-122.4305518,37.78932277
39,0,42137.85347,WEAPON LAWS,SUSPICIOUS PACKAGE,Wednesday,TARAVAL,0,1400 Block of HOLLOWAY AV,-122.473182,37.72156474
40,0,42137.85069,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,0,0 Block of WINDING WY,-122.4324465,37.71083265
41,0,42137.84931,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,0,700 Block of MARKET ST,-122.4052948,37.78630722
42,0,42137.84375,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,1600 Block of MARKET ST,-122.4221276,37.77303302
43,0,42137.84375,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TENDERLOIN,0,0 Block of STOCKTON ST,-122.4063518,37.78603116
44,0,42137.8375,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,BAYVIEW,1,300 Block of WILLIAMS AV,-122.3994437,37.73017602
45,0,42137.8375,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Wednesday,BAYVIEW,1,300 Block of WILLIAMS AV,-122.3994437,37.73017602
46,0,42137.83333,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,CENTRAL,1,800 Block of LEAVENWORTH ST,-122.415212,37.78887145
47,0,42137.83333,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,INGLESIDE,0,0 Block of CRESCENT AV,-122.4237023,37.73523279
48,0,42137.83333,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,TARAVAL,0,LINCOLN WY / 14TH AV,-122.4717998,37.7656867
49,0,42137.82986,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,0,SUTTER ST / POWELL ST,-122.4085974,37.78922421
50,0,42137.82778,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Wednesday,PARK,1,1500 Block of HAIGHT ST,-122.4477611,37.76984649
51,0,42137.81458,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,BAYVIEW,0,23RD ST / WISCONSIN ST,-122.3986956,37.7547456
52,0,42137.81458,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,BAYVIEW,0,23RD ST / WISCONSIN ST,-122.3986956,37.7547456
53,0,42137.8125,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,SOUTHERN,0,0 Block of 3RD ST,-122.4032848,37.78730642
54,0,42137.8125,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,SOUTHERN,0,500 Block of BRANNAN ST,-122.3976156,37.77739182
55,0,42137.8125,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,0,OTIS ST / GOUGH ST,-122.4203472,37.77176907
56,0,42137.8125,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,SOUTHERN,0,MISSION ST / 2ND ST,-122.3998021,37.78800653
57,0,42137.8125,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,0,GEARY ST / VANNESS AV,-122.4213958,37.78568434
58,0,42137.8125,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,HARRISON ST / 10TH ST,-122.4112792,37.77157858
59,0,42137.8125,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
60,0,42137.81111,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,CENTRAL,0,0 Block of SANSOME ST,-122.4007198,37.79071247
61,0,42137.81111,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,CENTRAL,0,0 Block of SANSOME ST,-122.4007198,37.79071247
62,0,42137.80972,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,CENTRAL,0,900 Block of BUSH ST,-122.412929,37.78968683
63,0,42137.80972,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,CENTRAL,0,900 Block of BUSH ST,-122.412929,37.78968683
64,0,42137.80486,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,0,0 Block of MARKET ST,-122.3950978,37.79405905
65,0,42137.80208,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,300 Block of 10TH ST,-122.4116366,37.77178694
66,0,42137.80208,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,TARAVAL,0,19TH AV / WINSTON DR,-122.4748992,37.72699053
67,0,42137.79931,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,TENDERLOIN,0,400 Block of HYDE ST,-122.4162359,37.78491257
68,0,42137.79931,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,TENDERLOIN,0,400 Block of HYDE ST,-122.4162359,37.78491257
69,0,42137.79931,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,TENDERLOIN,0,400 Block of HYDE ST,-122.4162359,37.78491257
70,0,42137.79931,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,400 Block of BRANNAN ST,-122.395986,37.77883482
71,0,42137.79167,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,400 Block of BRANNAN ST,-122.395986,37.77883482
72,0,42137.79167,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,2000 Block of SUTTER ST,-122.4341214,37.78603305
73,0,42137.79167,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,0,100 Block of PAUL AV,-122.3971362,37.72280498
74,0,42137.79167,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,0,26TH ST / GUERRERO ST,-122.4225723,37.74877401
75,0,42137.79167,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,STOCKTON ST / SUTTER ST,-122.4069587,37.78943476
76,0,42137.79028,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,0,1900 Block of MISSION ST,-122.4196766,37.7658511
77,0,42137.79028,WARRANTS,WARRANT ARREST,Wednesday,MISSION,0,1900 Block of MISSION ST,-122.4196766,37.7658511
78,0,42137.78819,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,PARK,1,4600 Block of 18TH ST,-122.4424965,37.76048588
79,0,42137.78125,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,0 Block of FREELON ST,-122.3964115,37.77918761
80,0,42137.78125,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,MISSION,1,17TH ST / TREAT AV,-122.4135917,37.76382223
81,0,42137.78125,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,0,PACIFIC AV / SANSOME ST,-122.4020426,37.79750489
82,0,42137.77917,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,NORTHERN,0,1900 Block of POLK ST,-122.4214269,37.79460283
83,0,42137.77917,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Wednesday,NORTHERN,0,1900 Block of POLK ST,-122.4214269,37.79460283
84,0,42137.77708,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,1,200 Block of GOLDEN GATE AV,-122.4142634,37.78175698
85,0,42137.77083,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,INGLESIDE,1,3100 Block of HARRISON ST,-122.4115042,37.74778591
86,0,42137.77083,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,PARK,0,1000 Block of SCOTT ST,-122.4369999,37.77916217
87,0,42137.77083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,0,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
88,0,42137.77083,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Wednesday,BAYVIEW,0,1300 Block of FELTON ST,-122.417938,37.72660514
89,0,42137.77083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,0,1500 Block of FILLMORE ST,-122.4327438,37.78384245
90,0,42137.77083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,PINE ST / GRANT AV,-122.4057448,37.79149808
91,0,42137.76389,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,0,600 Block of VANNESS AV,-122.4206914,37.78148325
92,0,42137.76111,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,TENDERLOIN,0,400 Block of EDDY ST,-122.4150887,37.78367196
93,0,42137.76042,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,0,WESTPORTAL AV / VICENTE ST,-122.4669911,37.73972316
94,0,42137.76042,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,GREENWICH ST / LEAVENWORTH ST,-122.4178006,37.80126838
95,0,42137.75694,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,CENTRAL,0,BAY ST / HYDE ST,-122.42018,37.80478965
96,0,42137.75347,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,0,SAN BRUNO AV / BURROWS ST,-122.4040999,37.72883734
97,0,42137.75139,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,1,25TH ST / SHOTWELL ST,-122.4150147,37.75083639
98,0,42137.75,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,SOUTHERN,0,0 Block of 6TH ST,-122.4095043,37.78152627
99,0,42137.75,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,BAYVIEW,0,ILLINOIS ST / 20TH ST,-122.3875713,37.76054996
100,0,42137.75,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,0,CASTRO ST / 16TH ST,-122.4353184,37.76410203
101,0,42137.75,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,0,COLE ST / FULTON ST,-122.4513601,37.77517416
102,0,42137.75,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,LEAVENWORTH ST / BAY ST,-122.418534,37.80499774
103,0,42137.74653,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Wednesday,SOUTHERN,1,1200 Block of MARKET ST,-122.4154488,37.77829352
104,0,42137.74653,FORGERY/COUNTERFEITING,"CHECKS, POSSESSION WITH INTENT TO PASS",Wednesday,SOUTHERN,1,1200 Block of MARKET ST,-122.4154488,37.77829352
105,0,42137.74653,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,SOUTHERN,1,1200 Block of MARKET ST,-122.4154488,37.77829352
106,0,42137.74306,NON-CRIMINAL,FOUND PROPERTY,Wednesday,CENTRAL,0,400 Block of GREEN ST,-122.4070086,37.79969689
107,0,42137.74167,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,NORTHERN,0,0 Block of DANIELBURNHAM CT,-122.4225406,37.78690887
108,0,42137.74097,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,BAYVIEW,0,0 Block of WHITFIELD CT,-122.3818379,37.73110435
109,0,42137.74097,OTHER OFFENSES,RESISTING ARREST,Wednesday,BAYVIEW,0,0 Block of WHITFIELD CT,-122.3818379,37.73110435
110,0,42137.74097,ASSAULT,CHILD ABUSE (PHYSICAL),Wednesday,BAYVIEW,0,0 Block of WHITFIELD CT,-122.3818379,37.73110435
111,0,42137.74097,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Wednesday,BAYVIEW,0,0 Block of WHITFIELD CT,-122.3818379,37.73110435
112,0,42137.73958,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,CENTRAL,1,700 Block of GEARY ST,-122.4156327,37.78635878
113,0,42137.73958,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,0,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
114,0,42137.73958,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Wednesday,CENTRAL,1,700 Block of GEARY ST,-122.4156327,37.78635878
115,0,42137.73611,ASSAULT,THREATS AGAINST LIFE,Wednesday,CENTRAL,0,1400 Block of STOCKTON ST,-122.4090315,37.79925319
116,0,42137.73611,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,0,SAN JOSE AV / 29TH ST,-122.4226722,37.74394327
117,0,42137.73403,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,TENDERLOIN,0,EDDY ST / LEAVENWORTH ST,-122.414243,37.78372403
118,0,42137.73403,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,0,EDDY ST / LEAVENWORTH ST,-122.414243,37.78372403
119,0,42137.73264,NON-CRIMINAL,AIDED CASE,Wednesday,SOUTHERN,0,1300 Block of MISSION ST,-122.4156581,37.77539248
120,0,42137.72917,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,0,2300 Block of MISSION ST,-122.4190589,37.75942275
121,0,42137.72917,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,1,CRESCENT AV / ANDOVER ST,-122.4168243,37.73488852
122,0,42137.72917,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,11TH ST / HARRISON ST,-122.4124833,37.77063059
123,0,42137.72778,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,MISSION,1,23RD ST / VERMONT ST,-122.4035248,37.75445344
124,0,42137.72708,TRESPASS,TRESPASSING,Wednesday,TENDERLOIN,0,100 Block of EDDY ST,-122.4101352,37.78418891
125,0,42137.72222,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Wednesday,CENTRAL,0,600 Block of JONES ST,-122.4132985,37.78705782
126,0,42137.71667,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,SOUTHERN,1,6TH ST / NATOMA ST,-122.4076931,37.78016307
127,0,42137.71319,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,0,1100 Block of FILLMORE ST,-122.4319796,37.78004785
128,0,42137.70833,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,0,500 Block of TOMPKINS AV,-122.4131567,37.73710675
129,0,42137.70833,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,INGLESIDE,0,0 Block of BROOK ST,-122.4234664,37.74072837
130,0,42137.70833,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,NORTHERN,0,500 Block of GROVE ST,-122.4256351,37.77743878
131,0,42137.70833,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,500 Block of NORTHPOINT ST,-122.4162596,37.80618612
132,0,42137.70833,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,0,400 Block of 39TH AV,-122.4997301,37.78035003
133,0,42137.70833,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,TENDERLOIN,0,LEAVENWORTH ST / EDDY ST,-122.414243,37.78372403
134,0,42137.70833,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,0,16TH ST / SANCHEZ ST,-122.4308826,37.76437256
135,0,42137.70833,NON-CRIMINAL,LOST PROPERTY,Wednesday,TENDERLOIN,0,JONES ST / GEARY ST,-122.4131745,37.78671902
136,0,42137.70139,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ A KNIFE,Wednesday,INGLESIDE,0,4600 Block of MISSION ST,-122.4350413,37.72425605
137,0,42137.70139,FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL),Wednesday,INGLESIDE,1,400 Block of CORTLAND AV,-122.4174505,37.73920707
138,0,42137.69931,TRESPASS,TRESPASSING,Wednesday,NORTHERN,1,100 Block of STEINER ST,-122.4319275,37.77073153
139,0,42137.69861,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,0,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
140,0,42137.69792,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,CENTRAL,0,CALIFORNIA ST / STOCKTON ST,-122.4075398,37.79224918
141,0,42137.69722,WARRANTS,WARRANT ARREST,Wednesday,SOUTHERN,1,4TH ST / MARKET ST,-122.4058325,37.78574465
142,0,42137.69583,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,0,2100 Block of FULTON ST,-122.4505559,37.77533518
143,0,42137.69028,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,0,HAWTHORNE ST / HARRISON ST,-122.3962658,37.78344043
144,0,42137.68889,WARRANTS,WARRANT ARREST,Wednesday,CENTRAL,1,STOCKTON ST / BUSH ST,-122.4071522,37.79036558
145,0,42137.6875,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,0,0 Block of DOLORES ST,-122.4265894,37.76841217
146,0,42137.6875,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,INGLESIDE,0,600 Block of NAPLES ST,-122.4330408,37.71853452
147,0,42137.6875,VEHICLE THEFT,STOLEN TRUCK,Wednesday,NORTHERN,0,SUTTER ST / WEBSTER ST,-122.4315532,37.78630399
148,0,42137.68056,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,SOUTHERN,1,800 Block of BRYANT ST,-122.4034048,37.77542071
149,0,42137.68056,MISSING PERSON,MISSING JUVENILE,Wednesday,INGLESIDE,0,100 Block of PERSIA AV,-122.4347643,37.72261614
150,0,42137.67708,OTHER OFFENSES,RECKLESS DRIVING,Wednesday,BAYVIEW,0,INDUSTRIAL ST / BARNEVELD AV,-122.4042596,37.73871271
151,0,42137.67361,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,INGLESIDE,0,0 Block of TIFFANY AV,-122.4212288,37.74526077
152,0,42137.67292,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,SOUTHERN,0,0 Block of MAIN ST,-122.3957716,37.79243096
153,0,42137.66806,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Wednesday,PARK,0,200 Block of UPPER TR,-122.4450692,37.76285497
154,0,42137.66667,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,0,2200 Block of LEAVENWORTH ST,-122.4177715,37.80150566
155,0,42137.66667,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,0,1000 Block of GREAT HY,-122.5102257,37.76724422
156,0,42137.66667,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,BAYVIEW,0,100 Block of KISKA RD,-122.3759892,37.73015769
157,0,42137.66667,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,0,900 Block of ROCKDALE DR,-122.4545072,37.74111331
158,0,42137.66667,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,0,DELVALE AV / ENCLINE CT,-122.447802,37.74176976
159,0,42137.66528,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,NORTHERN,0,2400 Block of CALIFORNIA ST,-122.4346894,37.78885384
160,0,42137.66528,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,NORTHERN,0,2400 Block of CALIFORNIA ST,-122.4346894,37.78885384
161,0,42137.65972,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,INGLESIDE,1,400 Block of EDINBURGH ST,-122.4313713,37.72196757
162,0,42137.65694,NON-CRIMINAL,AIDED CASE,Wednesday,TENDERLOIN,0,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441
163,0,42137.65694,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,1,7TH ST / MARKET ST,-122.4125153,37.78047775
164,0,42137.65694,SECONDARY CODES,JUVENILE INVOLVED,Wednesday,SOUTHERN,1,7TH ST / MARKET ST,-122.4125153,37.78047775
165,0,42137.65625,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,0,800 Block of BAY ST,-122.4210243,37.80472956
166,0,42137.65278,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,PARK,0,1700 Block of MCALLISTER ST,-122.4408795,37.77753219
